date,usd,eur
2025-01-14,53.8791,55.19913795
2025-01-10,53.8522,55.52215672
2025-01-09,53.2827,54.88384513
2025-01-08,53.0704,55.03241268
2025-01-07,53.012,54.50110708
2025-01-03,52.5723,54.16734358
2025-01-02,52.0271,54.07540692
2024-12-30,51.9345,54.10692013
2024-12-27,51.7659,53.85931299
2024-12-26,51.64,53.6735832
2024-12-23,51.5398,53.60912297
2024-12-20,51.3504,53.405443
2024-12-19,50.9545,53.44006051
2024-12-18,50.5419,53.04220779
2024-12-17,50.371,52.83212706
2024-12-16,50.3319,52.76997723
2024-12-13,49.9068,52.47949554
2024-12-12,49.4757,51.9712543
2024-12-11,49.1111,51.70907719
2024-12-10,48.8695,51.66972235
2024-12-09,48.7903,51.49181891
2024-12-06,48.3265,51.01586972
2024-12-05,48.1183,50.71187637
2024-12-04,47.8552,50.33409936
2024-12-03,47.7293,50.00121468
2024-12-02,47.6074,50.26389292
2024-11-29,47.3138,49.92079038
2024-11-28,46.8554,49.40058532
2024-11-27,46.7537,49.07735889
2024-11-26,46.6427,48.93332299
2024-11-25,46.6176,48.54337305
2024-11-22,46.3273,48.74512178
2024-11-21,46.0588,48.49623169
2024-11-20,45.841,48.53736762
2024-11-19,45.7894,48.25699076
2024-11-15,45.507,48.07177452
2024-11-14,45.053,47.60795563
2024-11-13,44.9289,47.70999891
2024-11-12,44.7544,47.61957668
2024-11-11,44.7035,48.05536843
2024-11-08,44.1861,47.80803461
2024-11-07,43.7822,46.95903643
2024-11-06,43.4576,47.4013772
2024-11-05,42.8569,46.51516498
2024-11-01,42.7101,46.36651166
2024-10-31,42.5622,46.19828874
2024-10-30,42.2256,45.5614224
2024-10-29,41.7361,45.17849352
2024-10-28,41.0429,44.42319324
2024-10-25,40.8803,44.14704477
2024-10-24,39.4617,42.53695028
2024-10-23,39.323,42.51366822
2024-10-22,39.1813,42.41767538
2024-10-21,39.1699,42.52793552
2024-10-18,39.1344,42.37511966
2024-10-17,39.0116,42.44071964
2024-10-16,38.9179,42.44230502
2024-10-15,38.888,42.43691888
2024-10-14,38.8857,42.57634178
2024-10-11,37.6502,41.133973
2024-10-10,37.5295,41.10531076
2024-10-09,37.074,40.66498764
2024-10-08,37.0397,40.64884836
2024-10-07,37.0358,40.60419933
2024-10-04,36.9855,40.74100767
2024-10-03,36.9812,40.82650517
2024-10-02,36.9187,40.84463455
2024-10-01,36.9227,41.18690262
2024-09-30,36.9086,41.23354974
2024-09-27,36.8655,41.17839484
2024-09-26,36.8507,41.13311984
2024-09-25,36.8105,41.06800243
2024-09-24,36.813,40.96440201
2024-09-23,36.823,41.03702412
2024-09-20,36.8013,40.96794318
2024-09-19,36.7789,40.89041323
2024-09-18,36.7702,40.88515308
2024-09-17,36.7751,40.77806963
2024-09-13,36.741,40.5436935
2024-09-12,36.7323,40.45254734
2024-09-11,36.7062,40.46051013
2024-09-10,36.6854,40.49811362
2024-09-09,36.6958,40.75839201
2024-09-06,36.6846,40.65130579
2024-09-05,36.6436,40.6011088
2024-09-04,36.6391,40.45726061
2024-09-03,36.6386,40.5431756
2024-09-02,36.6454,40.56535843
2024-08-30,36.6259,40.54999892
2024-08-29,36.5919,40.74581248
2024-08-28,36.5883,40.85632519
2024-08-27,36.5633,40.83828103
2024-08-26,36.5888,40.94798963
2024-08-23,36.6967,40.76709796
2024-08-22,36.6484,40.7805071
2024-08-21,36.683,40.73463735
2024-08-20,36.6848,40.33126912
2024-08-16,36.6768,40.29313248
2024-08-15,36.6132,40.37044658
2024-08-14,36.6561,40.15859035
2024-08-13,36.6305,40.05435283
2024-08-12,36.6658,40.05371992
2024-08-09,36.6827,39.98304251
2024-08-08,36.6806,40.11096971
2024-08-07,36.6642,40.07800366
2024-08-06,36.6527,40.21167717
2024-08-05,36.6555,40.02560667
2024-08-02,36.6423,39.52678185
2024-08-01,36.6368,39.65787052
2024-07-31,36.6128,39.55427235
2024-07-30,36.609,39.62338506
2024-07-29,36.6074,39.74611847
2024-07-26,36.5797,39.72043304
2024-07-25,36.559,39.66468705
2024-07-23,36.5314,39.75821856
2024-07-22,36.6066,39.85616788
2024-07-19,36.5724,39.90158557
2024-07-18,36.5407,39.96054411
2024-07-17,36.506,39.72509908
2024-07-16,36.5004,39.8588018
2024-07-15,36.5243,39.83851498
2024-07-12,36.5303,39.70624428
2024-07-11,36.5134,39.52319956
2024-07-10,36.5056,39.4899328
2024-07-09,36.4888,39.52795215
2024-07-08,36.5123,39.48367097
2024-07-04,36.4779,39.41838351
2024-07-03,36.4672,39.15592665
2024-07-02,36.4551,39.08788732
2024-07-01,36.4462,39.04044051
2024-06-28,36.4085,39.01753311
2024-06-27,36.3823,38.9101422
2024-06-26,36.3655,38.93799547
2024-06-25,36.3725,38.87092702
2024-06-21,36.3789,39.0080031
2024-06-20,36.3831,39.09364095
2024-06-19,36.3939,39.08668466
2024-06-18,36.4176,38.95408584
2024-06-14,36.4296,39.22265743
2024-06-13,36.4497,39.55448544
2024-06-12,36.4385,39.08247756
2024-06-11,36.45,39.130533
2024-06-10,36.4787,39.42508459
2024-06-07,36.4882,39.68347167
2024-06-06,36.524,39.70085752
2024-06-05,36.5408,39.75310172
2024-06-04,36.5344,39.6332478
2024-05-31,36.5372,39.61144
2024-05-30,36.5114,39.48853955
2024-05-29,36.5103,39.70276063
2024-05-28,36.5119,39.64535125
2024-05-27,36.5129,39.62087804
2024-05-24,36.5219,39.54299156
2024-05-23,36.5464,39.61008471
2024-05-22,36.5589,39.70552452
2024-05-21,36.5703,39.74423633
2024-05-20,36.5717,39.7578265
2024-05-17,36.6265,39.81483682
2024-05-16,36.6042,39.77448976
2024-05-15,36.5949,39.59055851
2024-05-14,36.6101,39.42651499
2024-05-10,36.5865,39.42634413
2024-05-09,36.5828,39.31334019
2024-05-08,36.5621,39.41065321
2024-05-07,36.5763,39.42595953
2024-05-06,36.5849,39.40230314
2024-05-03,36.5099,39.05500512
2024-05-02,36.473,38.99911998
2024-04-30,36.4262,39.03431592
2024-04-29,36.4324,38.92291886
2024-04-26,36.4311,39.02900174
2024-04-25,36.4231,38.93374428
2024-04-24,36.3877,38.92465044
2024-04-23,36.3506,38.69121513
2024-04-22,36.3421,38.75158123
2024-04-18,36.3265,38.65575518
2024-04-17,36.2974,38.60518869
2024-04-16,36.2889,38.58780181
2024-04-15,36.2947,38.58416967
2024-04-12,36.2804,38.8476011
2024-04-11,36.1883,38.89156601
2024-04-10,36.2251,39.32524405
2024-04-09,36.1809,39.27617599
2024-04-08,36.2274,39.22268143
2024-04-05,36.2105,39.34524298
2024-04-04,36.2493,39.25001705
2024-04-03,36.286,39.07603054
2024-04-02,36.2611,38.94986056
2024-04-01,36.2896,39.25700059
2024-03-27,36.334,39.37915254
2024-03-26,36.3006,39.32988507
2024-03-25,36.3555,39.33265189
2024-03-22,36.3217,39.47406034
2024-03-21,36.2861,39.37803858
2024-03-20,36.2653,39.48565864
2024-03-18,36.3167,39.53690178
2024-03-15,36.276,39.4918674
2024-03-14,36.2633,39.68256655
2024-03-13,36.2368,39.543408
2024-03-12,36.2005,39.53999612
2024-03-11,36.1903,39.60847383
2024-03-08,36.1331,39.43385868
2024-03-07,36.1726,39.37242819
2024-03-06,36.1318,39.2752666
2024-03-05,36.0933,39.20634712
2024-03-04,36.0801,39.06356346
2024-03-01,36.1518,39.22361844
2024-02-29,36.1304,39.11982929
2024-02-28,36.0955,39.15134503
2024-02-27,36.0706,39.11207299
2024-02-26,36.0698,39.0260808
2024-02-23,36.2329,39.17138819
2024-02-22,36.2315,39.19342512
2024-02-21,36.2951,39.28182377
2024-02-20,36.2375,39.01401725
2024-02-19,36.3358,39.13183981
2024-02-16,36.2737,39.11538165
2024-02-15,36.2609,38.85536739
2024-02-14,36.3185,39.17240773
2024-02-09,36.2919,39.0635124
2024-02-08,36.2375,39.03539737
2024-02-07,36.2556,38.96171798
2024-02-06,36.2534,38.8998982
2024-02-05,36.2859,39.16046899
2024-02-02,36.2352,39.2427216
2024-02-01,36.2601,39.43575955
2024-01-31,36.2032,39.21023779
2024-01-30,36.1418,39.0714543
